Name,ReleaseDate,Developer,Category,,Category,,Developer,
Acorn Archimedes,18/06/1989,Acorn Computers,Computers,,Computers,,Acorn Computers,
Acorn Atom,01/01/1980,Acorn Computers,Computers,,Consoles,,Amstrad,
Acorn Electron,25/08/1983,Acorn Computers,Computers,,Mobile,,APF Electronics,
BBC Microcomputer System,01/12/1981,Acorn Computers,Computers,,Handhelds,,Apple,
Amstrad CPC,01/01/1984,Amstrad,Computers,,Arcade,,"Atari, Inc.",
Amstrad GX4000,01/09/1990,Amstrad,Consoles,,0,,"Bandai Co., Ltd.",
APF Imagination Machine,31/12/1979,APF Electronics,Consoles,,,,Camputers,
Apple II,01/06/1977,Apple,Computers,,Category: Console,69,Casio,
Apple IIGS,15/09/1986,Apple,Computers,,No of Devs,87,Coleco,
Apple iOS,29/06/2007,Apple,Mobile,,,,Commodore,
Apple Mac OS,24/01/1984,Apple,Computers,,,,Linus Torvalds,
Atari 2600,11/09/1977,"Atari, Inc.",Consoles,,,,Donat Temirazov and Alexander Sokolov,
Atari 5200,01/11/1982,"Atari, Inc.",Consoles,,,,Dragon Data,
Atari 7800,01/05/1986,"Atari, Inc.",Consoles,,,,EACA,
Atari 800,01/11/1979,"Atari, Inc.",Computers,,,,Elecbyte,
Atari Jaguar,23/11/1993,"Atari, Inc.",Consoles,,,,Emerson Radio,
Atari Jaguar CD,21/09/1995,"Atari, Inc.",Consoles,,,,Entex,
Atari Lynx,01/09/1989,"Atari, Inc.",Handhelds,,,,Epoch,
Atari ST,01/06/1985,"Atari, Inc.",Computers,,,,Evans & Sutherland,
Atari XEGS,01/11/1987,"Atari, Inc.",Consoles,,,,Exelvision,
WonderSwan,04/03/1999,"Bandai Co., Ltd.",Handhelds,,,,Exidy,
WonderSwan Color,09/12/2000,"Bandai Co., Ltd.",Handhelds,,,,Fairchild Semiconductor,
Camputers Lynx,01/01/1983,Camputers,Computers,,,,Fujitsu,
Casio Loopy,19/10/1995,Casio,Consoles,,,,Funtech,
Casio PV-1000,01/10/1983,Casio,Consoles,,,,Game Park,
Coleco ADAM,01/10/1983,Coleco,Computers,,,,Google,
ColecoVision,01/08/1982,Coleco,Consoles,,,,Hartung,
Commodore 128,01/01/1985,Commodore,Computers,,,,Intelligent Software,
Commodore 64,01/01/1982,Commodore,Computers,,,,Interton,
Commodore Amiga,23/07/1985,Commodore,Computers,,,,Jupiter Cantab,
Commodore Amiga CD32,17/09/1993,Commodore,Consoles,,,,Magnavox,
Commodore CDTV,01/03/1991,Commodore,Computers,,,,Magnavox / Philips,
Commodore MAX Machine,01/01/1982,Commodore,Computers,,,,Matra and Hachette,
Commodore PET,01/10/1977,Commodore,Computers,,,,Mattel Electronics,
Commodore Plus 4,01/01/1984,Commodore,Computers,,,,Memotech,
Commodore VIC-20,01/06/1980,Commodore,Computers,,,,MGT,
Linux,17/09/1991,Linus Torvalds,Computers,,,,Micronique,
Vector-06C,01/01/1987,Donat Temirazov and Alexander Sokolov,Computers,,,,Microsoft,
Dragon 32/64,01/08/1982,Dragon Data,Computers,,,,Midway,
EACA EG2000 Colour Genie,01/08/1982,EACA,Computers,,,,NEC,
MUGEN,17/07/1999,Elecbyte,Arcade,,,,NEC and Hudson Soft,
Emerson Arcadia 2001,01/05/1982,Emerson Radio,Consoles,,,,Nintendo,
Entex Adventure Vision,01/01/1982,Entex,Consoles,,,,Nintendo IRD,
Epoch Game Pocket Computer,01/01/1984,Epoch,Handhelds,,,,Nintendo R&D2,
Epoch Super Cassette Vision,17/07/1984,Epoch,Consoles,,,,Nintendo RED,
Namco System 22,01/01/1993,Evans & Sutherland,Arcade,,,,"Nintendo, Alps Electric",
Exelvision EXL 100,01/09/1994,Exelvision,Computers,,,,Nokia,
Exidy Sorcerer,01/01/1978,Exidy,Computers,,,,NPO Scientific Center,
Fairchild Channel F,01/11/1976,Fairchild Semiconductor,Consoles,,,,Oric Products,
Fujitsu FM Towns Marty,20/02/1993,Fujitsu,Computers,,,,"Ouya, Inc.",
Fujitsu FM-7,01/11/1982,Fujitsu,Computers,,,,Philips,
Funtech Super Acan,25/10/1995,Funtech,Consoles,,,,Radofin,
GamePark GP32,23/11/2001,Game Park,Handhelds,,,,RCA,
Android,23/09/2008,Google,Mobile,,,,Sammy Corporation,
Hartung Game Master,01/01/1990,Hartung,Handhelds,,,,SCEI,
Enterprise,01/01/1985,Intelligent Software,Computers,,,,ScummVM Team,
Interton VC 4000,01/01/1978,Interton,Consoles,,,,Sega,
Jupiter Ace,01/01/1982,Jupiter Cantab,Computers,,,,Sega and Lockheed Martin,
Magnavox Odyssey,01/05/1972,Magnavox,Consoles,,,,Sega/Namco/Nintendo,
Magnavox Odyssey 2,01/12/1978,Magnavox / Philips,Consoles,,,,Senile Team,
Matra and Hachette Alice,23/09/1983,Matra and Hachette,Computers,,,,Sharp,
Mattel HyperScan,23/10/2006,Mattel Electronics,Consoles,,,,Sinclair Research,
Mattel Intellivision,03/12/1979,Mattel Electronics,Consoles,,,,SNK,
Memotech MTX512,01/06/1983,Memotech,Computers,,,,Sony,
SAM Coupé,01/01/1989,MGT,Computers,,,,Sord Computer Corporation,
Hector HRX,01/01/1983,Micronique,Computers,,,,Soviet,
Microsoft MSX,27/06/1983,Microsoft,Computers,,,,Spectravideo,
Microsoft MSX2,21/10/1983,Microsoft,Computers,,,,SSD COMPANY LIMITED,
Microsoft MSX2+,01/11/1988,Microsoft,Computers,,,,Taito Corporation,
Microsoft Xbox One,22/11/2013,Microsoft,Consoles,,,,Tandy Corporation,
MS-DOS,01/08/1981,Microsoft,Computers,,,,Tapwave,
Windows,20/11/1985,Microsoft,Computers,,,,Team Shanghai Alice (formerly ZUN Soft),
Windows 3.X,22/05/1990,Microsoft,Computers,,,,Technosys Research Labs,
Microsoft Xbox,15/11/2001,Microsoft,Consoles,,,,Texas Instruments,
Microsoft Xbox 360,22/11/2005,Microsoft,Consoles,,,,The 3DO Company,
Bally Astrocade,01/12/1977,Midway,Consoles,,,,Tiger Electronics,
NEC PC-8801,11/12/1981,NEC,Computers,,,,Tomy,
NEC PC-9801,01/10/1982,NEC,Computers,,,,Tsukuda Original,
NEC TurboGrafx-16,29/08/1989,NEC and Hudson Soft,Consoles,,,,VM Labs,
NEC TurboGrafx-CD,01/11/1989,NEC,Consoles,,,,VTech,
NEC PC-FX,23/12/1994,NEC,Consoles,,,,Watara,
PC Engine SuperGrafx,08/12/1989,NEC,Consoles,,,,Welback Holdings,
Nintendo DS,21/11/2004,Nintendo,Handhelds,,,,Western Technologies/Smith Engineering,
Nintendo Famicom Disk System,21/02/1986,Nintendo,Consoles,,,,Worlds of Wonder,
Nintendo Game & Watch,28/04/1980,Nintendo,Handhelds,,,,ZAPiT Games,
Nintendo Game Boy,21/04/1989,Nintendo,Handhelds,,,,0,
Nintendo Game Boy Advance,11/06/2001,Nintendo,Handhelds,,,,,
Nintendo Game Boy Color,21/10/1998,Nintendo,Handhelds,,,,,
Nintendo GameCube,18/11/2001,Nintendo,Consoles,,,,,
Nintendo Pokemon Mini,16/11/2001,Nintendo,Handhelds,,,,,
Nintendo Satellaview,23/04/1995,Nintendo,Consoles,,,,,
Nintendo Switch,03/03/2017,Nintendo,Consoles,,,,,
Nintendo Virtual Boy,21/07/1995,Nintendo,Consoles,,,,,
Nintendo Wii,02/12/2006,Nintendo,Consoles,,,,,
Nintendo Wii U,18/11/2012,Nintendo,Consoles,,,,,
Super Nintendo Entertainment System,21/11/1990,Nintendo,Consoles,,,,,
Nintendo 64,23/06/1996,Nintendo IRD,Consoles,,,,,
Nintendo Entertainment System,18/10/1985,Nintendo R&D2,Consoles,,,,,
Nintendo 3DS,26/02/2011,Nintendo RED,Handhelds,,,,,
Nintendo 64DD,01/12/1999,"Nintendo, Alps Electric",Consoles,,,,,
Nokia N-Gage,07/10/2003,Nokia,Handhelds,,,,,
Elektronika BK,01/01/1984,NPO Scientific Center,Computers,,,,,
Oric Atmos,01/01/1984,Oric Products,Computers,,,,,
Ouya,28/12/2012,"Ouya, Inc.",Consoles,,,,,
Philips CD-i,03/12/1991,Philips,Consoles,,,,,
Philips VG 5000,01/10/1984,Philips,Computers,,,,,
Philips Videopac+ G7400,01/01/1983,Philips,Consoles,,,,,
Mattel Aquarius,01/06/1983,Radofin,Computers,,,,,
RCA Studio II,19/01/1979,RCA,Consoles,,,,,
Sammy Atomiswave,01/01/2003,Sammy Corporation,Arcade,,,,,
Sony PlayStation 3,11/11/2006,SCEI,Consoles,,,,,
ScummVM,05/10/2001,ScummVM Team,Computers,,,,,
Sega 32X,03/12/1994,Sega,Consoles,,,,,
Sega CD,12/12/1991,Sega,Consoles,,,,,
Sega Dreamcast,27/11/1998,Sega,Consoles,,,,,
Sega Dreamcast VMU,30/07/1998,Sega,Handhelds,,,,,
Sega Game Gear,06/10/1990,Sega,Handhelds,,,,,
Sega Genesis,14/08/1989,Sega,Consoles,,,,,
Sega Hikaru,01/05/1999,Sega,Arcade,,,,,
Sega Master System,01/09/1986,Sega,Consoles,,,,,
Sega Model 1,01/01/1992,Sega,Arcade,,,,,
Sega Model 2,01/01/1993,Sega,Arcade,,,,,
Sega Naomi,01/01/1998,Sega,Arcade,,,,,
Sega Naomi 2,01/01/2000,Sega,Arcade,,,,,
Sega Pico,01/06/1993,Sega,Consoles,,,,,
Sega Saturn,22/11/1994,Sega,Consoles,,,,,
Sega SC-3000,15/07/1983,Sega,Computers,,,,,
Sega SG-1000,15/07/1983,Sega,Consoles,,,,,
Sega ST-V,01/08/1994,Sega,Arcade,,,,,
Sega System 16,01/01/1985,Sega,Arcade,,,,,
Sega System 32,01/01/1990,Sega,Arcade,,,,,
Sega Model 3,01/01/1996,Sega and Lockheed Martin,Arcade,,,,,
Sega Triforce,01/10/2002,Sega/Namco/Nintendo,Arcade,,,,,
OpenBOR,28/03/2004,Senile Team,Arcade,,,,,
Sharp MZ-2500,01/10/1985,Sharp,Computers,,,,,
Sharp X1,01/01/1982,Sharp,Computers,,,,,
Sharp X68000,01/03/1987,Sharp,Computers,,,,,
Sinclair ZX Spectrum,21/04/1982,Sinclair Research,Computers,,,,,
Sinclair ZX-81,05/03/1981,Sinclair Research,Computers,,,,,
SNK Neo Geo AES,31/01/1990,SNK,Consoles,,,,,
SNK Neo Geo CD,09/09/1994,SNK,Consoles,,,,,
SNK Neo Geo MVS,31/01/1990,SNK,Arcade,,,,,
SNK Neo Geo Pocket,31/12/1998,SNK,Handhelds,,,,,
SNK Neo Geo Pocket Color,16/03/1999,SNK,Handhelds,,,,,
Sony PlayStation 2,04/03/2000,Sony,Consoles,,,,,
Sony Playstation 4,15/11/2013,Sony,Consoles,,,,,
Sony Playstation Vita,17/12/2011,Sony,Handhelds,,,,,
Sony PS One,07/07/2000,Sony,Consoles,,,,,
Sony PSP,12/12/2004,Sony,Handhelds,,,,,
Sony PSP Minis,01/10/2009,Sony,Handhelds,,,,,
Sony Playstation,03/12/1994,Sony,Consoles,,,,,
Sony PocketStation,23/01/1999,Sony,Handhelds,,,,,
Sord M5,18/11/1982,Sord Computer Corporation,Computers,,,,,
Apogee BK-01,01/01/1988,Soviet,Computers,,,,,
Lviv PC-01,01/01/1987,Soviet,Computers,,,,,
Radio-86RK Mikrosha,01/01/1986,Soviet,Computers,,,,,
SV-318 ,01/06/1983,Spectravideo,Computers,,,,,
XaviXPORT,21/11/2004,SSD COMPANY LIMITED,Consoles,,,,,
Taito Type X,01/01/2004,Taito Corporation,Arcade,,,,,
Taito Type X+,01/01/2005,Taito Corporation,Arcade,,,,,
Tandy TRS-80,03/08/1977,Tandy Corporation,Computers,,,,,
TRS-80 Color Computer,01/09/1980,Tandy Corporation,Computers,,,,,
Tapwave Zodiac,01/10/2003,Tapwave,Handhelds,,,,,
Touhou Project,15/08/1997,Team Shanghai Alice (formerly ZUN Soft),Arcade,,,,,
Aamber Pegasus,01/01/1981,Technosys Research Labs,Computers,,,,,
Texas Instruments TI 99/4A,01/06/1981,Texas Instruments,Computers,,,,,
3DO Interactive Multiplayer,04/10/1993,The 3DO Company,Consoles,,,,,
Tiger Game.com,01/09/1997,Tiger Electronics,Handhelds,,,,,
Tomy Tutor,01/01/1982,Tomy,Computers,,,,,
Othello Multivision,15/07/1983,Tsukuda Original,Consoles,,,,,
Nuon,09/11/2000,VM Labs,Consoles,,,,,
VTech CreatiVision,01/01/1981,VTech,Consoles,,,,,
VTech Socrates,01/12/1988,VTech,Consoles,,,,,
Watara Supervision,01/01/1992,Watara,Handhelds,,,,,
Mega Duck,24/09/1993,Welback Holdings,Handhelds,,,,,
GCE Vectrex,01/11/1982,Western Technologies/Smith Engineering,Consoles,,,,,
WoW Action Max,01/01/1987,Worlds of Wonder,Consoles,,,,,
Game Wave Family Entertainment System,01/10/2005,ZAPiT Games,Consoles,,,,,
